months_as_customer,age,policy_number,policy_bind_date,policy_state,policy_csl,policy_deductable,policy_annual_premium,umbrella_limit,insured_zip,insured_sex,insured_education_level,insured_occupation,insured_hobbies,insured_relationship,capital-gains,capital-loss,incident_date,incident_type,collision_type,incident_severity,authorities_contacted,incident_state,incident_city,incident_location,incident_hour_of_the_day,number_of_vehicles_involved,property_damage,bodily_injuries,witnesses,police_report_available,total_claim_amount,injury_claim,property_claim,vehicle_claim,auto_make,auto_model,auto_year,fraud_reported,years_as_customer,total_claims
473,58,892874,1992-10-19,IN,100/300,2000,1131.4,0,458733,FEMALE,MD,transport-moving,movies,other-relative,55700.0,0,2015-01-29,Multi-vehicle Collision,Side Collision,Major Damage,Other,WV,Hillsdale,9573 Weaver Ave,12,4,YES,0,0,NO,63120.0,10520.0,10520.0,42080,Accura,MDX,1999,Y,39.0,63120.0
70,26,558938,2005-06-08,OH,500/1000,1000,1199.44,5000000,619884,MALE,College,machine-op-inspct,hiking,own-child,63600.0,0,2015-02-22,Multi-vehicle Collision,Rear Collision,Major Damage,Other,NY,Riverwood,5074 3rd St,0,3,Not specified,1,2,YES,52110.0,5790.0,5790.0,40530,Nissan,Maxima,2012,N,6.0,52110.0
140,31,275265,2004-11-15,IN,500/1000,500,708.64,6000000,470610,MALE,High School,machine-op-inspct,reading,unmarried,53500.0,0,2015-01-06,Single Vehicle Collision,Side Collision,Total Loss,Police,WV,Northbend,4546 Tree St,9,1,NO,0,2,YES,77880.0,14160.0,7080.0,56640,Suburu,Legacy,2015,N,12.0,77880.0
160,37,921202,2014-12-28,OH,500/1000,500,1374.22,0,472135,FEMALE,MD,craft-repair,yachting,other-relative,45500.0,-37800,2015-01-19,Single Vehicle Collision,Side Collision,Total Loss,Other,NY,Northbrook,3842 Solo Ridge,19,1,YES,1,0,NO,72930.0,6630.0,13260.0,53040,Accura,TL,2015,N,13.0,72930.0
196,39,143972,1992-08-02,IN,500/1000,2000,1475.73,0,477670,FEMALE,High School,handlers-cleaners,camping,own-child,57000.0,-27300,2015-02-22,Multi-vehicle Collision,Side Collision,Major Damage,Police,VA,Columbus,8101 3rd Ridge,8,3,Not specified,2,0,NO,60400.0,6040.0,6040.0,48320,Nissan,Pathfinder,2014,N,16.0,60400.0
460,62,183430,2002-06-25,IN,250/500,1000,1187.96,4000000,618845,MALE,JD,other-service,bungie-jumping,own-child,0.0,0,2015-01-01,Multi-vehicle Collision,Rear Collision,Minor Damage,Police,NY,Columbus,5380 Pine St,20,3,NO,1,0,Not specified,47160.0,0.0,5240.0,41920,Suburu,Impreza,2011,N,38.0,47160.0
217,41,431876,2005-11-27,IL,500/1000,2000,875.15,0,442479,FEMALE,Associate,machine-op-inspct,skydiving,own-child,46700.0,0,2015-02-10,Multi-vehicle Collision,Side Collision,Total Loss,Police,SC,Arlington,8957 Weaver Drive,15,3,Not specified,1,2,Not specified,37840.0,0.0,4730.0,33110,Accura,RSX,1996,N,18.0,37840.0
370,55,285496,1994-05-27,IL,100/300,2000,,0,443920,MALE,High School,prof-specialty,paintball,other-relative,72700.0,-68200,2015-01-11,Multi-vehicle Collision,Rear Collision,Major Damage,Ambulance,SC,Hillsdale,2526 Embaracadero Ave,20,3,NO,0,0,YES,71520.0,17880.0,5960.0,47680,Suburu,Forrestor,2000,Y,31.0,71520.0
413,55,115399,1991-02-08,IN,100/300,2000,1268.79,0,453148,MALE,MD,priv-house-serv,chess,own-child,0.0,-31000,2015-01-19,Single Vehicle Collision,Front Collision,Total Loss,Ambulance,WV,Northbend,5667 4th Drive,15,1,Not specified,2,2,Not specified,98160.0,8180.0,16360.0,73620,Dodge,RAM,2011,Y,34.0,98160.0
237,40,736882,1996-02-02,IN,100/300,1000,883.31,0,434733,MALE,College,craft-repair,kayaking,husband,,-53500,2015-02-24,Single Vehicle Collision,Rear Collision,Minor Damage,Other,VA,Riverwood,2502 Apache Hwy,6,1,NO,1,3,NO,77880.0,7080.0,14160.0,56640,Ford,Escape,2005,N,20.0,77880.0
8,35,699044,2013-12-05,OH,100/300,2000,1266.92,0,613982,MALE,Masters,sales,polo,own-child,,0,2015-01-09,Multi-vehicle Collision,Rear Collision,Major Damage,Other,OH,Arlington,3418 Texas Lane,16,3,NO,1,3,YES,71500.0,16500.0,11000.0,44000,Ford,Escape,2006,Y,1.0,71500.0
257,43,863236,1990-09-20,IN,100/300,2000,1322.1,0,436984,MALE,High School,prof-specialty,golf,own-child,0.0,-29200,2015-01-28,Parked Car,Not Specified,Minor Damage,Police,PA,Arlington,2533 Elm St,4,1,YES,1,3,YES,9020.0,1640.0,820.0,6560,Toyota,Camry,2005,N,21.0,9020.0
202,34,608513,2002-07-18,IN,100/300,500,848.07,3000000,607730,MALE,JD,exec-managerial,chess,not-in-family,31000.0,-30200,2015-01-07,Vehicle Theft,Not Specified,Minor Damage,None,VA,Northbrook,3790 Andromedia Hwy,5,1,YES,2,1,Not specified,5720.0,1040.0,520.0,4160,Suburu,Forrestor,2003,Y,17.0,5720.0
224,40,914088,1990-02-08,OH,100/300,2000,1291.7,0,609837,FEMALE,JD,sales,kayaking,not-in-family,0.0,-55600,2015-01-08,Single Vehicle Collision,Side Collision,Minor Damage,Other,SC,Northbend,3220 Rock Drive,21,1,NO,1,0,YES,69840.0,7760.0,15520.0,46560,Dodge,Neon,2009,N,19.0,69840.0
241,45,596785,2014-03-04,IL,500/1000,2000,1104.5,0,432211,FEMALE,PhD,machine-op-inspct,basketball,unmarried,0.0,0,2015-02-15,Single Vehicle Collision,Rear Collision,Minor Damage,Police,SC,Northbrook,2100 Francis Drive,5,1,NO,2,2,NO,91650.0,14100.0,14100.0,63450,Accura,TL,2011,N,20.0,91650.0
64,25,908616,2000-02-18,IL,250/500,1000,954.16,0,473328,MALE,Masters,prof-specialty,video-games,husband,53200.0,0,2015-01-18,Multi-vehicle Collision,Side Collision,Major Damage,Ambulance,SC,Columbus,4687 5th Drive,22,4,NO,0,0,Not specified,75600.0,12600.0,12600.0,50400,Toyota,Corolla,2005,N,5.0,75600.0
166,37,666333,2008-06-19,IL,100/300,2000,1337.28,8000000,610393,MALE,JD,craft-repair,reading,husband,27500.0,0,2015-02-28,Multi-vehicle Collision,Side Collision,Major Damage,Police,WV,Riverwood,9038 2nd Lane,10,3,NO,2,2,Not specified,67140.0,7460.0,7460.0,52220,Ford,F150,2006,Y,14.0,67140.0
155,35,336614,2003-08-01,IL,500/1000,1000,1088.34,0,614780,FEMALE,Associate,adm-clerical,yachting,other-relative,81100.0,0,2015-02-24,Multi-vehicle Collision,Front Collision,Total Loss,Police,NY,Arlington,6092 5th Ave,16,3,YES,2,3,NO,29790.0,3310.0,3310.0,23170,BMW,3 Series,2008,N,13.0,29790.0
114,30,584859,1992-04-04,IL,100/300,1000,1558.29,0,472248,MALE,High School,farming-fishing,video-games,wife,51400.0,-64000,2015-01-09,Multi-vehicle Collision,Front Collision,Major Damage,Ambulance,NY,Hillsdale,8353 Britain Ridge,1,3,NO,1,2,Not specified,77110.0,14020.0,14020.0,49070,Suburu,Impreza,2015,N,10.0,77110.0
149,37,990493,1991-01-13,IL,500/1000,500,1415.68,0,603381,MALE,PhD,prof-specialty,yachting,own-child,0.0,0,2015-02-12,Single Vehicle Collision,Side Collision,Total Loss,Fire,WV,Hillsdale,3540 Maple St,17,1,YES,0,1,YES,64800.0,10800.0,5400.0,48600,Audi,A3,1999,N,12.0,64800.0
147,33,129872,2010-08-08,OH,100/300,1000,1334.15,6000000,479224,MALE,High School,craft-repair,reading,not-in-family,53300.0,-49200,2015-01-24,Single Vehicle Collision,Front Collision,Major Damage,Other,WV,Springfield,3104 Sky Drive,15,1,YES,2,0,YES,53100.0,10620.0,5310.0,37170,Mercedes,C300,1995,Y,12.0,53100.0
62,28,200152,2003-03-09,IL,100/300,1000,988.45,0,430141,FEMALE,Masters,protective-serv,camping,unmarried,0.0,0,2015-01-09,Single Vehicle Collision,Rear Collision,Total Loss,Police,NY,Northbrook,4981 Weaver St,3,1,Not specified,1,1,YES,60200.0,6020.0,6020.0,48160,Suburu,Forrestor,2004,Y,5.0,60200.0
289,49,933293,1993-02-03,IL,500/1000,2000,1222.48,0,620757,FEMALE,JD,priv-house-serv,golf,unmarried,0.0,0,2015-01-18,Parked Car,Not Specified,Minor Damage,None,WV,Arlington,6676 Tree Lane,16,1,NO,1,1,YES,5330.0,1230.0,820.0,3280,Suburu,Legacy,2001,N,24.0,5330.0
431,54,485664,2002-11-25,IN,500/1000,2000,1155.55,0,615901,FEMALE,MD,craft-repair,bungie-jumping,unmarried,65700.0,0,2015-01-21,Multi-vehicle Collision,Rear Collision,Major Damage,Police,NY,Hillsdale,3930 Embaracadero St,4,3,Not specified,2,0,Not specified,62300.0,12460.0,6230.0,43610,Jeep,Wrangler,2007,N,36.0,62300.0
199,37,982871,1997-07-27,IN,250/500,500,1262.08,0,474615,MALE,JD,tech-support,video-games,wife,48500.0,0,2015-01-08,Single Vehicle Collision,Front Collision,Major Damage,Ambulance,NC,Columbus,3422 Flute St,4,1,Not specified,0,3,NO,60170.0,10940.0,10940.0,38290,Nissan,Pathfinder,2011,Y,17.0,60170.0
79,26,206213,1995-05-08,IL,100/300,500,1451.62,0,456446,MALE,Associate,tech-support,kayaking,not-in-family,0.0,-55700,2015-01-03,Single Vehicle Collision,Rear Collision,Minor Damage,Ambulance,WV,Columbus,4862 Lincoln Hwy,19,1,NO,2,2,Not specified,40000.0,8000.0,4000.0,28000,BMW,M5,2010,N,7.0,40000.0
116,34,616337,2012-08-30,IN,250/500,500,1737.66,0,470577,MALE,Associate,transport-moving,chess,unmarried,0.0,-24100,2015-01-01,Single Vehicle Collision,Side Collision,Major Damage,Police,WV,Northbrook,5719 2nd Lane,1,1,Not specified,1,1,Not specified,97080.0,16180.0,16180.0,64720,BMW,X5,2001,Y,10.0,97080.0
37,37,448961,2006-04-30,IL,500/1000,500,1475.93,0,441648,FEMALE,College,prof-specialty,hiking,husband,0.0,-67400,2015-01-16,Multi-vehicle Collision,Side Collision,Minor Damage,Other,SC,Springfield,3221 Solo Ridge,17,3,YES,1,0,NO,51660.0,5740.0,5740.0,40180,Dodge,RAM,2010,N,3.0,51660.0
106,30,790442,2003-04-13,OH,250/500,500,538.17,0,433782,FEMALE,PhD,transport-moving,reading,own-child,49700.0,-60200,2015-02-10,Single Vehicle Collision,Rear Collision,Total Loss,Other,NC,Arlington,6660 MLK Drive,23,1,NO,2,2,NO,51120.0,5680.0,5680.0,39760,Mercedes,E400,2005,N,9.0,51120.0
269,44,108844,2007-12-05,IL,100/300,2000,1081.08,0,468104,MALE,JD,priv-house-serv,reading,unmarried,36400.0,-28700,2015-02-14,Single Vehicle Collision,Front Collision,Minor Damage,Other,SC,Springfield,1699 Oak Drive,14,1,YES,0,2,Not specified,56400.0,11280.0,11280.0,33840,Toyota,Highlander,2014,N,22.0,56400.0
265,40,430029,2006-08-21,IL,250/500,1000,1454.43,0,459407,FEMALE,MD,protective-serv,yachting,husband,0.0,0,2015-02-21,Multi-vehicle Collision,Rear Collision,Total Loss,Other,NY,Arlington,4234 Cherokee Lane,17,3,NO,2,3,Not specified,55120.0,6890.0,0.0,48230,Accura,MDX,2002,N,22.0,55120.0
163,33,529112,1990-01-08,IN,100/300,500,1240.47,0,472573,FEMALE,Associate,other-service,polo,husband,35300.0,0,2015-02-18,Multi-vehicle Collision,Rear Collision,Total Loss,Fire,NC,Northbend,7476 4th St,11,3,YES,1,1,Not specified,77110.0,0.0,14020.0,63090,Honda,Civic,2014,N,14.0,77110.0
355,47,939631,1990-03-18,OH,500/1000,2000,1273.7,4000000,433473,MALE,College,other-service,kayaking,husband,0.0,0,2015-01-10,Multi-vehicle Collision,Front Collision,Major Damage,Fire,WV,Arlington,8907 Tree Ave,19,3,NO,2,1,NO,62800.0,6280.0,6280.0,50240,Audi,A3,2003,Y,30.0,62800.0
175,34,866931,2008-01-07,IN,500/1000,1000,1123.87,8000000,446326,FEMALE,PhD,protective-serv,dancing,other-relative,0.0,0,2015-02-26,Vehicle Theft,Not Specified,Trivial Damage,Police,NY,Arlington,6619 Flute Ave,5,1,Not specified,2,0,YES,7290.0,810.0,810.0,5670,Volkswagen,Passat,1995,N,15.0,7290.0
192,35,582011,1997-03-10,IL,100/300,1000,1245.89,0,435481,FEMALE,Masters,exec-managerial,movies,wife,0.0,-40300,2015-01-01,Single Vehicle Collision,Rear Collision,Total Loss,Other,WV,Springfield,6011 Britain St,19,1,NO,0,0,Not specified,76600.0,15320.0,7660.0,53620,Mercedes,C300,2000,N,16.0,76600.0
430,59,691189,2004-01-10,OH,250/500,2000,1326.62,7000000,477310,MALE,MD,other-service,bungie-jumping,own-child,0.0,0,2015-01-03,Multi-vehicle Collision,Front Collision,Minor Damage,Fire,NY,Riverwood,5104 Francis Drive,19,3,Not specified,0,3,YES,81800.0,16360.0,8180.0,57260,Nissan,Pathfinder,1998,N,36.0,81800.0
91,27,537546,1994-08-20,IL,100/300,2000,1073.83,0,609930,FEMALE,JD,farming-fishing,polo,husband,0.0,0,2015-01-17,Vehicle Theft,Not Specified,Trivial Damage,None,NY,Arlington,2280 4th Ave,4,1,Not specified,1,2,Not specified,7260.0,1320.0,660.0,5280,BMW,M5,2008,N,8.0,7260.0
217,39,394975,2002-06-02,IN,100/300,1000,1530.52,0,603993,MALE,College,armed-forces,basketball,not-in-family,0.0,0,2015-02-22,Vehicle Theft,Not Specified,Minor Damage,None,WV,Northbend,2644 Elm Drive,8,1,Not specified,2,1,YES,4300.0,430.0,430.0,3440,Toyota,Corolla,2000,N,18.0,4300.0
223,40,729634,1994-04-28,IN,100/300,500,1201.41,0,437818,FEMALE,JD,priv-house-serv,movies,husband,88400.0,-46500,2015-01-27,Multi-vehicle Collision,Side Collision,Major Damage,Police,NC,Columbus,7466 MLK Ridge,7,3,YES,1,0,Not specified,70510.0,12820.0,12820.0,44870,Suburu,Forrestor,1999,N,19.0,70510.0
195,39,282195,2014-08-17,OH,250/500,1000,1393.57,0,478423,MALE,PhD,machine-op-inspct,movies,not-in-family,47600.0,-39600,2015-02-27,Parked Car,Not Specified,Minor Damage,Police,VA,Northbend,5821 2nd St,5,1,NO,0,1,YES,2640.0,480.0,480.0,1680,Ford,F150,2009,N,16.0,2640.0
22,26,420810,2007-08-11,OH,100/300,1000,1276.57,0,467784,MALE,PhD,craft-repair,skydiving,not-in-family,71500.0,0,2015-01-06,Single Vehicle Collision,Rear Collision,Minor Damage,Fire,NY,Arlington,6723 Best Drive,3,1,YES,1,2,NO,78900.0,15780.0,7890.0,55230,Chevrolet,Silverado,1995,N,2.0,78900.0
439,56,524836,2008-11-20,IN,250/500,500,1082.49,0,606714,FEMALE,PhD,prof-specialty,chess,unmarried,36100.0,-55000,2015-02-28,Multi-vehicle Collision,Front Collision,Major Damage,Fire,SC,Columbus,4866 4th Hwy,12,3,Not specified,2,3,Not specified,56430.0,0.0,6270.0,50160,Honda,CRV,2014,N,37.0,56430.0
94,32,307195,1995-10-18,IN,500/1000,1000,1414.74,0,464691,FEMALE,Masters,adm-clerical,hiking,own-child,0.0,0,2015-02-22,Parked Car,Not Specified,Minor Damage,None,VA,Riverwood,5418 Britain Ave,19,1,NO,1,3,NO,2400.0,300.0,300.0,1800,Chevrolet,Silverado,2014,N,8.0,2400.0
11,39,623648,1993-05-19,IL,250/500,2000,1470.06,0,431683,MALE,PhD,other-service,yachting,husband,56600.0,-45800,2015-01-07,Single Vehicle Collision,Front Collision,Total Loss,Ambulance,WV,Riverwood,4296 Pine Hwy,22,1,YES,0,1,NO,65790.0,7310.0,7310.0,51170,Saab,93,2007,N,1.0,65790.0
151,36,485372,2005-02-26,OH,250/500,2000,870.63,0,431725,FEMALE,MD,adm-clerical,kayaking,own-child,94800.0,-58500,2015-01-06,Multi-vehicle Collision,Side Collision,Minor Damage,Police,VA,Hillsdale,2299 1st St,12,3,NO,1,1,NO,62920.0,11440.0,5720.0,45760,Ford,Escape,2000,N,13.0,62920.0
154,34,598554,1990-02-14,IN,100/300,500,795.23,0,609216,MALE,PhD,machine-op-inspct,base-jumping,other-relative,36900.0,0,2015-01-10,Multi-vehicle Collision,Rear Collision,Major Damage,Police,NY,Springfield,6618 Cherokee Drive,15,3,YES,2,1,Not specified,69480.0,15440.0,0.0,54040,Nissan,Maxima,2014,Y,13.0,69480.0
245,44,303987,1993-09-30,IL,500/1000,1000,1168.2,0,452787,MALE,JD,handlers-cleaners,basketball,husband,69100.0,0,2015-02-11,Multi-vehicle Collision,Side Collision,Total Loss,Other,OH,Springfield,7459 Flute St,23,3,NO,0,3,NO,44280.0,7380.0,3690.0,33210,Honda,Accord,1997,N,20.0,44280.0
119,32,343161,2014-06-10,IL,500/1000,1000,993.51,0,468767,MALE,High School,armed-forces,bungie-jumping,unmarried,0.0,-49500,2015-01-12,Single Vehicle Collision,Side Collision,Minor Damage,Other,WV,Hillsdale,3567 4th Drive,12,1,NO,0,3,YES,56300.0,5630.0,11260.0,39410,BMW,M5,2011,N,10.0,56300.0
215,42,519312,2008-10-28,OH,500/1000,500,1848.81,0,435489,MALE,JD,transport-moving,video-games,own-child,0.0,-49000,2015-02-06,Multi-vehicle Collision,Front Collision,Major Damage,Fire,WV,Northbend,2457 Washington Ave,20,3,YES,2,2,YES,68520.0,11420.0,5710.0,51390,Suburu,Legacy,2003,Y,18.0,68520.0
254,39,332867,1993-12-13,IN,100/300,500,1362.87,0,458364,FEMALE,MD,exec-managerial,chess,other-relative,35700.0,0,2015-02-22,Multi-vehicle Collision,Front Collision,Minor Damage,Ambulance,NY,Arlington,1218 Sky Hwy,6,3,YES,2,2,NO,82320.0,13720.0,6860.0,61740,Dodge,Neon,1995,Y,21.0,82320.0
107,31,356590,2011-08-17,IN,250/500,500,1239.22,7000000,476458,FEMALE,High School,tech-support,paintball,not-in-family,43400.0,-91200,2015-01-30,Single Vehicle Collision,Side Collision,Minor Damage,Fire,SC,Springfield,9169 Pine Ridge,12,1,YES,0,1,NO,89700.0,13800.0,13800.0,62100,Audi,A5,2009,Y,9.0,89700.0
478,64,346002,1990-08-20,OH,250/500,500,835.02,0,602433,FEMALE,Associate,adm-clerical,reading,unmarried,59600.0,0,2015-02-02,Multi-vehicle Collision,Side Collision,Minor Damage,Fire,WV,Hillsdale,8538 Texas Lane,17,3,NO,1,1,NO,33930.0,0.0,3770.0,30160,BMW,X6,1998,N,40.0,33930.0
128,30,500533,1994-02-11,OH,100/300,1000,1061.33,0,478575,MALE,MD,machine-op-inspct,movies,own-child,43300.0,-66200,2015-01-10,Single Vehicle Collision,Front Collision,Major Damage,Ambulance,WV,Northbrook,5783 Oak Ave,8,1,NO,0,3,NO,68530.0,12460.0,6230.0,49840,Audi,A5,1997,N,11.0,68530.0
338,49,348209,1994-02-22,IN,500/1000,1000,1279.08,0,449718,MALE,MD,other-service,kayaking,own-child,0.0,-51500,2015-02-27,Parked Car,Not Specified,Minor Damage,None,NC,Riverwood,7721 Washington Ridge,13,1,NO,0,1,Not specified,4300.0,860.0,860.0,2580,Ford,F150,2004,N,28.0,4300.0
271,42,486676,2011-08-15,OH,100/300,500,1105.49,0,463181,FEMALE,Associate,prof-specialty,sleeping,own-child,56200.0,-50000,2015-02-20,Multi-vehicle Collision,Side Collision,Major Damage,Other,SC,Hillsdale,8006 Maple Hwy,12,2,Not specified,2,3,Not specified,68310.0,12420.0,6210.0,49680,Audi,A3,2003,Y,23.0,68310.0
222,41,260845,1998-11-11,OH,100/300,2000,1055.53,0,441992,FEMALE,MD,armed-forces,cross-fit,not-in-family,37800.0,-50300,2015-02-08,Single Vehicle Collision,Front Collision,Total Loss,Other,WV,Northbrook,6751 Pine Ridge,7,1,NO,0,2,NO,61290.0,6810.0,6810.0,47670,Honda,Civic,1995,Y,18.0,61290.0
199,41,657045,1995-12-04,OH,250/500,1000,895.83,0,452597,FEMALE,Associate,sales,paintball,husband,0.0,0,2015-02-11,Single Vehicle Collision,Rear Collision,Minor Damage,Ambulance,NC,Arlington,2324 Texas Ridge,10,1,NO,1,2,NO,30100.0,3010.0,0.0,27090,Chevrolet,Malibu,1999,N,17.0,30100.0
215,37,761189,2002-12-28,IN,100/300,500,1632.93,0,614417,FEMALE,College,transport-moving,golf,not-in-family,0.0,-42900,2015-02-23,Multi-vehicle Collision,Rear Collision,Minor Damage,Fire,SC,Riverwood,7923 Elm Ave,7,3,NO,2,0,YES,57120.0,9520.0,4760.0,42840,Mercedes,C300,2002,N,18.0,57120.0
192,40,175177,2004-04-15,IL,100/300,1000,1405.99,0,472895,FEMALE,Associate,sales,yachting,wife,0.0,0,2015-03-01,Multi-vehicle Collision,Side Collision,Minor Damage,Ambulance,VA,Springfield,4755 Best Lane,18,3,YES,1,0,YES,42930.0,9540.0,4770.0,28620,BMW,X6,2005,N,16.0,42930.0
120,35,116700,2001-02-02,OH,100/300,1000,1425.54,0,475847,FEMALE,High School,transport-moving,bungie-jumping,other-relative,78300.0,0,2015-01-15,Multi-vehicle Collision,Front Collision,Total Loss,Ambulance,SC,Riverwood,5053 Tree Drive,22,3,NO,2,0,NO,51210.0,11380.0,5690.0,34140,Ford,Fusion,2010,N,10.0,51210.0
270,45,166264,2010-01-12,OH,500/1000,1000,1038.09,0,476978,FEMALE,College,handlers-cleaners,golf,husband,0.0,-19700,2015-01-14,Multi-vehicle Collision,Front Collision,Minor Damage,Fire,NY,Springfield,2078 3rd Ave,18,3,NO,1,1,YES,89400.0,14900.0,7450.0,67050,Suburu,Legacy,1998,N,22.0,89400.0
319,47,527945,1992-04-14,IN,250/500,500,1307.11,0,600648,MALE,College,transport-moving,dancing,not-in-family,0.0,0,2015-02-17,Multi-vehicle Collision,Front Collision,Total Loss,Police,WV,Northbrook,2804 Best St,22,3,NO,0,2,Not specified,59730.0,10860.0,10860.0,38010,Audi,A3,2005,N,27.0,59730.0
